Tags,Oznake
Integration ID,integracija ID
Integration Request,integracija Upit
Integration Request Service,Integracija Upit servis
Integration Type,integracija Tip
Integrations,Integracije
Integrations can use this field to set email delivery status,Integracije mogu koristiti ovu oblast za set status e isporuke
Inter,između
Inter Company Account,Inter naloga preduzeća
Inter Company Invoice Reference,Inter Firma Faktura preporuka
Inter Company Journal Entry,Inter Firma Časopis Stupanje
Inter Company Journal Entry Reference,Inter Firma Časopis Stupanje preporuka
Inter Company Order Reference,Inter Firma zakaza Referentni
Inter Company Reference,Inter kompaniji Reference
Inter State tax category for GST State {0} already exists,Inter državni porez kategorija za GST države {0} već postoji
Inter Warehouse Transfer Settings,Inter Varehouse Transfer podešavanja
Inter-State Supplies,Međudržavne pribor
Interest,kamata
Interest %,Procent%
Interest Amount,Iznos kamate
Interest Amount or Principal Amount is mandatory,Interes Iznos ili glavnice je obavezna
Interest Income Account,Prihod od kamata računa
Interest Outstanding,interes Izvanredna
Interest Payable,Zarađena kamata
Interest accrued from {0} to {1} against loan: {2},Kamata od {0} do {1} protiv kredit: {2}
Interested,zainteresovan
Interests,Interesi
Intermediate,srednji
Intern,stažista
Internal Customer,Osoba je zaposlena kod nas
Internal Customer for company {0} already exists,Internog klijenta za kompaniju {0} već postoji
Internal Sale or Delivery Reference missing.,Interna prodaje ili isporuke Referentni nedostaje.
Internal Sales Reference Missing,Interna prodaje Referentni Missing
Internal Server Error,Internal Server Error
Internal Supplier for company {0} already exists,Interni dobavljača za kompaniju {0} već postoji
Internal Transfer,Interni prenos
Internal Work History,Interna Istorija Rad
Internal record of document shares,Interna zapis akcija dokumenata
Internal transfers can only be done in company's default currency,Interni prenosi se može uraditi samo u početnim valuti kompanije
International,međunarodni
Internet,Internet
Internet Publishing,internet izdavaštvo
Interval,interval
Interval UOM,interval UOM
Intervals,intervali
Intra State tax category for GST State {0} already exists,Intra državni porez kategorija za GST države {0} već postoji
Intra-State Supplies,Intra-State pribor
Intro,intro
Intro Video,intro video
Intro Video URL,Intro video URL adresa
Introduce your company to the website visitor.,Predstavite svoju kompaniju na sajtu posetiocu.
Introduction,uvod
Introductory information for the Contact Us Page,Uvodna informacije za Kontakt stranica
Introspection URI,introspekcija URI
Invalid,nevažeći
"Invalid ""depends_on"" expression","Invalid ""depends_on"" izraz"
"Invalid ""depends_on"" expression set in filter {0}","Invalid ""depends_on"" ekspresija skup u filteru {0}"
Invalid Account,Nevažeći račun
Invalid Attribute,nevažeći Atribut
Invalid Authorization Type {0},Nevažeći tip Autorizacija {0}
Invalid Authorization headers,Nevažeće punomoćje zaglavlja
Invalid Barcode. There is no Item attached to this barcode.,Invalid Barkod. Nema artikla u prilogu ovog barkod.
Invalid Bearer token,Nevažeći Nosilac simbol
Invalid Blanket Order for the selected Customer and Item,Nevažeći Okvirni nalog za izabrani kupca i tačka
Invalid CSV Format,Nevažeći CSV format
Invalid Child Procedure,Nevažeći Dete Procedura
Invalid Company for Inter Company Transaction.,Nevažeći Preduzeće za Inter kompanije transakcije.
Invalid Consumer Key or Consumer Secret Key,Nevažeći potrošača ključ ili potrošača tajni ključ
Invalid Credentials,Nevažeći akreditiv
Invalid Date,Nevažeći datum
Invalid Fieldname,nevažeći fIELDNAME
Invalid File URL,Nevažeći Veličina URL adresa
Invalid Filter Value,Nevažeći vrednost filtera
Invalid Formula,Nevažeći Formula
Invalid GSTIN! A GSTIN must have 15 characters.,Invalid GSTIN! GSTIN mora da ima 15 znakova.
Invalid GSTIN! First 2 digits of GSTIN should match with State number {0}.,Invalid GSTIN! Prve 2 cifre GSTIN treba da odgovara državnom broj {0}.
Invalid GSTIN! The input you've entered doesn't match the GSTIN format for UIN Holders or Non-Resident OIDAR Service Providers,Invalid GSTIN! Ulazni koje ste uneli se ne podudara sa GSTIN format za uin nosilaca ili nerezidentni OIDAR usluga
Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.,Invalid GSTIN! Ulazni koje ste uneli ne odgovara format GSTIN.
Invalid Gross Purchase Amount,Invalid Bruto Kupovina Iznos
Invalid Healthcare Service Unit,Invalid zdravstvene službe jedinica
Invalid Home Page,Nevažeći Početna stranica
Invalid Item,nevažeći artikla
Invalid JSON,nevažeći JSON
Invalid Link,nevažeći link
Invalid Login Token,Nevažeći Prijava token
Invalid Login. Try again.,Nevažeća lozinka. Pokušajte ponovo.
Invalid Mail Server. Please rectify and try again.,Invalid mail server. Molim vas ispraviti i pokušajte ponovo.
Invalid Opening Entry,Nevažeći ulaznog otvora
Invalid Option,nevažeći Opcija
Invalid Outgoing Mail Server or Port,Invalid Outgoing mail server ili port
Invalid Output Format,Nevažeći Izlazni format
Invalid PAN No. The input you've entered doesn't match the format of PAN.,"Invalid Pan Ne, ulaz koje ste uneli ne odgovara format PAN."
Invalid POS Invoices,Nevažeći POS računi
Invalid Parameters.,Nevažeći parametri.
Invalid Parent Account,Nevažeći roditelja nalog
Invalid Part Number,Nevažeći Part Number
Invalid Password,invalid passvord
Invalid Password:,Invalid passvord:
Invalid Payroll Payable Account. The account currency must be {0} or {1},Invalid tekući plaćaju račun. Valuta računa mora biti {0} ili {1}
Invalid Period,nevažeći period
Invalid Posting Time,Nevažeći Postavljanje Vreme
Invalid Priority,nevažeći Prioritet
Invalid Quantity,nevažeći Količina
Invalid Request,Nevažeći Upit
Invalid Scheduled Time,Nevažeći Planirano vreme
Invalid Search Field {0},Invalid Traži Polje {0}
Invalid Selling Price,Nevažeći Prodajna cena
Invalid Subscription,nevažeći Pretplata
Invalid Supply Type,Nevažeći Snabdevanje Tip
Invalid Token,Nevažeći token
Invalid URL,Nevažeći URL
Invalid User Name or Support Password. Please rectify and try again.,Neispravno korisničko ime ili Podrška Šifra. Molim vas ispraviti i pokušajte ponovo.
Invalid Value,Pogrešna vrednost
Invalid Warehouse,nevažeći Magacin
Invalid aggregate function,Nevažeći agregatna funkcija
Invalid attribute {0} {1},Nevažeći atribut {0} {1}
Invalid column,nevažeći kolona
Invalid condition expression,Pogrešan izraz uslov
Invalid credentials,Nevažeći akreditiv
Invalid expression set in filter {0},Pogrešan izraz set u filteru {0}
Invalid expression set in filter {0} ({1}),Pogrešan izraz set u filteru {0} ({1})
Invalid field name {0},Nevažeći naziv polja {0}
Invalid field name: {0},Nevažeći naziv polja: {0}
Invalid fieldname '{0}' in autoname,Invalid fieldname '{0}' in autoname
Invalid file path: {0},Neispravan fajl putanja: {0}
Invalid filter: {0},Nevažeći filter: {0}
Invalid include path,INVALID uključuju putanju
Invalid json added in the custom options: {0},Nevažeći JSON dodato u opcijama prilagođenim: {0}
Invalid key type,Nevažeći tip ključa
Invalid login or password,Pogrešna prijava ili lozinka
Invalid lost reason {0},Nevažeći izgubljeni razlog {0}
Invalid module path,Nevažeći put modul
Invalid naming series (. missing),Invalid imenovanje serije (. Missing)
Invalid naming series (. missing) for {0},Nevažeći imenovanje series (. Nedostaju) za {0}
Invalid or corrupted content for import,Nevažeći ili korumpiran sadržaja za uvoz
Invalid payment gateway credentials,Nevažeći Paiment Gatevai akreditacije
Invalid quantity specified for item {0}. Quantity should be greater than 0.,Nevažeći količina određena za stavku {0}. Količina bi trebalo da bude veći od 0.
Invalid recipient address,Pogrešna adresa primaoca
Invalid reference {0} {1},Nevažeća referenca {0} {1}
Invalid request method: {},Nevažeći način rekuest: {}
Invalid state.,Invalid država.
Invalid template file for import,Neispravan fajl šablon za uvoz
Invalid token,Nevažeći token
Invalid username or password,pogrešno korisničko ime ili lozinka
Invalid value {0} for {1} against account {2},Nevažeća vrednost {0} za {1} sa računa {2}
Invalid {0},Nevažeći {0}
Invalid {0} condition,Nevažeći {0} condition
Invalid {0} for Inter Company Transaction.,Invalid {0} za Inter Compani transakcije.
Invalid {0} or {1},Nevažeći {0} ili {1}
Invalid {0}! The check digit validation has failed. Please ensure you've typed the {0} correctly.,Invalid {0}! Kontrolna cifra valjanosti nije uspela. Proverite da li ste u {0} ispravno uneli.
Invalid {0}: {1},Nevažeći {0}: {1}
Inventory,Inventar
Inverse,obrnut
Investigations,istrage
Investment Banking,Investiciono bankarstvo
Investments,investicije
Invite as User,Pozovi kao korisnik
Invited,pozvan
Invoice,Faktura
Invoice Consumables Separately,Faktura Potrošni Odvojeno
Invoice Created,faktura je napravljena
Invoice Date,faktura Datum
Invoice Details,Detalji računa
Invoice Discounting,faktura Diskontovanje
Invoice Grand Total,Faktura Sveukupno
Invoice ID,faktura ID
Invoice No,Faktura br
Invoice Number,Broj fakture
Invoice Patient Registration,Faktura Pacijent Prijava
Invoice Portion,faktura Porcija
Invoice Portion (%),Deo računa (%)
Invoice Posting Date,Faktura datum postanja
Invoice Print Format,Faktura Print Format
Invoice Ref,Br. Računa
Invoice Separately as Consumables,Faktura odvojeno kao potrošni materijal
Invoice Series,faktura serija
Invoice Series Prefix,Faktura Serija Prefiks
Invoice Status,Status fakture
Invoice Type,faktura Tip
Invoice already created for all billing hours,Faktura već stvorena za sve naplate sati
Invoice can't be made for zero billing hour,Račun ne može biti na nula obračunski sat
Invoice {0} no longer exists,Faktura {0} više ne postoji
Invoice/Journal Entry Details,Faktura / Časopis Stupanje Detalji
Invoiced,fakturiše
Invoiced Amount,Iznos računa
Invoiced Amount (Exclusive Tax),Iznos fakture (Ekskluzivno PDV)
Invoices,Fakture
Invoices with no Place Of Supply,Fakture bez mesto snabdevanja
Inward,unutrašnji
Inward Supplies(liable to reverse charge),Invard pribor (obavezan da preokrenu punjenje)
Inward supplies from ISD,Invard zalihe iz ISD
Inward supplies liable to reverse charge (other than 1 & 2 above),Unutra snabdeva podložna povraćaja (osim 1 & 2 gore)
Is,Je
Serbia,Srbija
Is Account Payable,Je nalog oplate
Is Accrued,se obračunava
Is Active,Aktivan
Is Advance,Je Unapred
Is Attachments Folder,Je Opreme Papka
Is Billable,Je Naplativi
Is Billing Contact,Je obračun Kontakt
Is Cancelled,je otkazan
Is Carry Forward,Se preneti
Is Child Table,Da li je dete Tabela
Is Company,je kompanija
Is Company Account,Je firma računa
Is Compensatory,Je Naknadna
Is Complete,Je završeno
Is Completed,Je završen
Is Consolidated,se konsoliduje
Is Container,Je kontejnera
Is Correct,Je tačno
Is Cumulative,Je kumulativna
Is Custom Field,Običaj Polje
Is Customer Provided Item,Da li je klijenta Provided artikla
Is Day Book Data Imported,Je dan knjige podatke uvezene
Is Day Book Data Processed,Je dan knjige podaci obrađuju
Is Default,je Uobičajeno
Is Default Account,Je podrazumevani nalog
Is Default Language,Je Uobičajeno Jezik
Is Delivery Note Required for Sales Invoice Creation?,Da li je Isporuka Napomena Potrebno za promet Creation Faktura?
Is Discounted,na sniženju
Is Earned Leave,Se zarađuje Leave
Is Existing Asset,Da li je postojeće imovine
Is Expired,je istekao
Is Featured,je Featured
Is Finance Cost,Je Finansijski troškovi
Is Finance Cost Adjustment,Da li je Finansijski troškovi prilagođavanje
Is Finished Item,Je završeno artikla
Is First Startup,Je prvi Pokretanje
Is Fixed Asset,Da li je osnovno sredstvo
Is Flexible Benefit,Fleksibilan Korist
Is Folder,je folder
Is Free Item,Is Free artikla
Is Frozen,Zamrznut
Is Global,je globalna
Is Globally Pinned,Je globalno Lepljiva
Is Group,je grupa
Is Home Folder,Is Home Direktorijum
Is Income Tax Component,Da li je porez na dohodak Komponenta
Is Income Tax Expense,Da li je Porez na dobit
Is Income Tax Liability,Da li je prihod Poreska obaveza
Is Inpatient,Je Bolnička
Is Internal Customer,Ova osoba je zaposlena u jednoj od naših firmi
Is Internal Supplier,Je interna dobavljača
Is Item from Hub,Je Stavka iz HUB-a
Is Leave Without Pay,Da li je odsustvo bez plate
Is Mandatory,Je obavezno
Is Mandatory Field,Je obavezna polja
Is Master Data Imported,Da li je master podataka Uvezena
Is Master Data Processed,Da li je master podataka koji se obrađuju
Is Milestone,Je MOTO
Is Opening,je Otvaranje
Is Opening Entry,Početno Stanje
Is Optional Leave,Je opcionalno odsustvo
Is Optional State,Je opcionalno države
Is Order Completed,Je red Završen
Is Paid,Se plaća
Is Partially Paid Leave,Da li je Delimično plaćeno odsustvo
Is Pinned,je zakačen
Is Primary,Primarno
Is Primary Contact,Podrazumevani kontakt za osobu
Is Primary Mobile,Podrazumevani mobilni za osobu
Is Primary Phone,Podrazumevani telefon za osobu
Is Private,Privatno
Is Public,je Javno
Is Published,objavljuje
Is Published Field,Je objavljen Field
Is Published Field must be a valid fieldname,Je objavljen polje mora biti validan fieldname
Is Purchase Item,Da li je objekat artikla
Is Purchase Order Required for Purchase Invoice & Receipt Creation?,Da li je narudžbenica Obavezno za fakturi i kupon stvaranju?
Is Purchase Receipt Required for Purchase Invoice Creation?,Da li je Purchase Receipt Potrebno za kupovinu Creation Faktura?
Is Query Report,Je Upit Izveštaj
Is Recurring,je Recurring
Is Recursive,je rekurzivna
Is Return,Ovo je nalog za vraćanje
Is Return (Credit Note),Da li je povratak (Kreditni Napomena)
Is Return (Debit Note),Je povratak (zaduženju)
Is Sales Item,Je prodaje artikla
Is Sales Order Required for Sales Invoice & Delivery Note Creation?,Da li je prodaje nalog koji je potreban za prodaje faktura i isporuka Note stvaranju?
Is Scrap Item,Je otpad artikla
Is Secured Loan,Je obezbeđen kredit
Is Short Year,Is Short Godina
Is Single,Je slobodan
Is Skipped,se preskače
Is Spam,je spam
Is Standard,Je standardno
Is Subcontracted,Je podugovoreni
Is Submittable,Je Submittable
Is Table,je sto
Is Tax Applicable,Je porez se primenjuje
Is Template,Je Šablon
Is Term Loan,Je dugoročni kredit
Is Transporter,Je Passat
Is Tree,Je Drvo
Is Unique,Je jedinstven
Is Working Capital,Je obrtna sredstva
Is Your Company Address,Ovo je jedna od adresa naše firme
Is a Subscription,Je pretplata
Is this Default?,Da li je to Uobičajeno?
Is this Tax included in Basic Rate?,Da li je ovo taksa u Osnovnom kurs?
Issue,Problem
Issue Analytics,Issue analitika
Issue Credit Note,Pitanje o odobrenju kredita
Issue Date,Datum izdavanja
Issue Material,izda Material
Issue Priority,Prioritet tiketa
Issue Split From,Izdaje se odvojila od
Issue Summary,pitanje Pregled
Issue Type,Tip tiketa
Issue detected with Mpesa configuration,Issue detektuju sa Mpesa konfiguracijom
Issued,Izdato
Issued Items Against Work Order,Izdate Predmeti protiv Vork Order
Issues,Tiketi podrške
Issuing Date,Datum izdavanja
It is needed to fetch Item Details.,Potrebno je da se donese Detalji artikla.
It is risky to delete this file: {0}. Please contact your System Manager.,To je rizično da izbrišete ovu datoteku: {0}. Obratite se svom Sistem Manager.
It seems that there is an issue with the server's stripe configuration. In case of failure,Čini se da postoji problem sa prugastim konfiguracije servera. U slučaju kvara
Italic,italic
Item,Artikal
Item 1,item 1
Item 2,item 2
Item 3,item 3
Item 4,tačka 4
Item 5,tačka 5
Item Alternative,Alternativni Proizvod
Item Attribute,Atribut Proizvoda
Item Attribute Value,Item atributa
Item Attribute Values,Item vrednosti atributa
Item Balance (Simple),Stavka Bilans (Jednostavno)
Item Barcode,item Barkod
Item Classification,item klasifikacija
Item Code,Šifra
Item Code (Drug),Šifra (droga)
Item Code > Item Group > Brand,Šifra> item Grupa> Brend
Item Code cannot be changed for Serial No.,Šifra ne može da se promeni za serijskim brojem
Item Code required at Row No {0},Šifra potrebno na Rov No {0}
Item Code,Šifra
Item Code: {0} is not available under warehouse {1}.,Artikal: {0} nije dostupan u skladištu {1}.
Item Customer Detail,Item Korisnički Detalji
Item Default,item Uobičajeno
Item Defaults,Podrazumevane vrednosti Artikla
Item Description,stavka Opis
Item Details,Detalji artikla
Item Fields,item Polja
Item Group,Kategorija
Item Group Defaults,Item Group Primarni
Item Group Name,Naziv Kategorije
Item Group Tree,Stablo Kategorija
Item Group not mentioned in item master for item {0},Tačka grupa ne pominje u tački master za stavku {0}
Item Groups,item Grupe
Item Image (if not slideshow),Item slike (ako ne i animaciju)
Item Label,item Oznaka
Item Locations,Lokacije Artikala
Item Manager,item direktor
Item Manufacturer,Proizvođač
Item Name,Naziv Aritkla
Item Naming By,Item naziv pod
Item Price,Cena
Item Price Stock,Cena Proizvoda Lagera
Item Price added for {0} in Price List {1},Stavka Cena dodao za {0} u cenovnikom {1}
Item Price appears multiple times based on Price List,Stavka Cena pojavljuje više puta na osnovu cenovniku
Item Price updated for {0} in Price List {1},Stavka Cena ažuriran za {0} u cenovnikom {1}
Item Prices,Cene Artikala
Item Quality Inspection Parameter,Tačka Provera kvaliteta parametara
Item Reorder,item Promeni redosled
Item Reported,item Prijavljeno
Item Row {0}: {1} {2} does not exist in above '{1}' table,Item Rov {0}: {1} {2} ne postoji u gore '{1}' table
Item Serial No,Item serijski broj
Item Shortage Report,Izveštaj Nestašice Artikla
Item Supplier,item dobavljača
Item Tax,item Poreski
Item Tax Amount Included in Value,Stavka Iznos poreza Uključeno u vrednosti
Item Tax Rate,Item Poreska stopa
Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,Item Poreski Red {0} mora imati u obzir tipa poreza ili prihoda ili rashoda ili Chargeable
Item Tax Template,Item Poreski Šablon
Item Tax Template Detail,Tačka Poreska Šablon Detalj
Item Template,item Šablon
Item To Manufacture,Stavka za proizvodnju
Item Type,Tip stavka
Item UOM,item UOM
Item Unavailable,stavka je nedostupna
Item Variant,item Varijanta
Item Variant Attribute,Item Varijanta Atribut
Item Variant Details,Detalji Varijante
Item Variant Settings,Podešavanja Varijante
Item Variant {0} already exists with same attributes,Tačka Varijanta {0} već postoji sa istim atributima
Item Variants updated,Item Varijante ažuriran
Item Website Specification,Item Sajt Specifikacija
Item Weight Details,Item Težina Detalji
Item Wise Tax Detail,Tačka Mudri Poreski Detalj
Item Wise Tax Detail,Tačka Mudri Poreski Detalj
Item and Warehouse,Item i skladišta
Item and Warranty Details,Detalji o artiklu i garanciji
Item cannot be added to its own descendents,Pošiljka ne može da se doda svoje potomcima
Item for row {0} does not match Material Request,Stavka za redom {0} ne odgovara Material zahtev
Item has variants.,Tačka ima varijante.
Item listing removed,Item listing uklonjena
Item must be added using 'Get Items from Purchase Receipts' button,Stavka mora se dodati pomoću 'Get stavki iz kupovini primitaka' dugme
Item name,Naziv Arikla
Item operation,item rad
Item quantity can not be zero,količina pošiljka ne može biti nula
Item taxes updated,Item porezi ažuriran
Item to be manufactured or repacked,Stavka koja će biti proizvedeni ili repacked
Item valuation rate is recalculated considering landed cost voucher amount,Tačka stopa vrednovanje izračunava s obzirom sleteo troškova vaučer iznos
Item valuation reposting in progress. Report might show incorrect item valuation.,Tačka Vrednovanje Ponovno u toku. Izveštaj može pokazati pogrešan artikal vrednovanja.
Item variant {0} exists with same attributes,Item variant {0} postoji sa istim atributima
Item will be removed since no serial / batch no selected.,Stavka će biti uklonjena jer no serial / batch nije izabran.
Item with Item Code {0} already exists,Stavka sa item kod {0} već postoji
Item {0} does not exist,Item {0} ne postoji
Item {0} does not exist in the system or has expired,Item {0} ne postoji u sistemu ili je istekao
Item {0} entered multiple times.,Item {0} ušao više puta.
Item {0} has already been returned,Item {0} je već vraćen
Item {0} has been disabled,Item {0} je onemogućen
Item {0} has no Serial No. Only serilialized items can have delivery based on Serial No,Item {0} nema serijski broj samo serilialized stavke mogu imati isporuku na osnovu Serial no
Item {0} has reached its end of life on {1},Item {0} je dostigao kraj života na {1}
Item {0} ignored since it is not a stock item,"Item {0} ignoriše, jer toga nije akcionarsko stavka"
Item {0} is a template,Item {0} je šablon
Item {0} is cancelled,Item {0} je otkazana
Item {0} is disabled,Item {0} je onemogućena
Item {0} is not a serialized Item,Item {0} nije serialized item
Item {0} is not a stock Item,Item {0} nije stock item
Item {0} is not active,Item {0} nije aktivan
Item {0} is not active or end of life has been reached,Item {0} nije aktivan ili je postignut kraj života
Item {0} is not setup for Serial Nos. Check Item master,Item {0} nije podešen za serijskim brojevima Check tovar master.
Item {0} is not setup for Serial Nos. Column must be blank,Item {0} nije podešen za serijskim brojevima Kolona mora biti prazan.
Item {0} must be a Fixed Asset Item,Item {0} mora biti osnovnih sredstava item
Item {0} must be a Sub-contracted Item,Item {0} mora biti Pod ugovorom item
Item {0} must be a non-stock item,Item {0} mora biti ne-lageru predmeta
Item {0} must be a stock Item,Item {0} mora da je stock item
Item {0} not found,Item {0} nije pronađen
Item {0} not found in 'Raw Materials Supplied' table in Purchase Order {1},"Item {0} nije pronađen u ""sirovina Isporučuje se 'sto u narudzbenice {1}"
Item {0} not found.,Item {0} nije pronađen.
Item {0} {1},Item {0} {1}
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,Item {0}: Ž kti {1} ne može biti manji od Minimalna količina za poručivanje {2} (definisano u tački).
Item {0}: {1} qty produced.,Item {0}: {1} kom proizveden.
Item-wise Price List Rate,Cena Artikla po Izabranom Cenovniku
Item-wise Purchase History,Item-mudar Kupovina Istorija
Item-wise Purchase Register,Item-mudar Kupovina Registracija
Item-wise Sales History,Istorija Prodaja Prema Artiklu
Item-wise Sales Register,Item-mudar prodaje Registracija
Item: {0} does not exist in the system,Artikal: {0} ne postoji u sistemu
Items,Artikli
Items Filter,Predmeti filter
Items Required,Predmeti Potreban
Items To Be Requested,Predmeti da se zatraži
Items for Raw Material Request,Predmeti za sirovine Zahtev
Items to Manufacture are required to pull the Raw Materials associated with it.,Predmeti za proizvodnju su u obavezi da povuče sirovina u vezi sa njim.
Items under this warehouse will be suggested,Predmeti u okviru ove skladište će biti predloženo
Items with higher weightage will be shown higher,Predmeti sa višim veightage će biti prikazan veći
Itemwise Discount,Itemvise Popust
Itemwise Recommended Reorder Level,Predloženo Preuređenje na osnovu Artikla
JP,CN
JS,JS
JSON,JSON
JSON Output,JSON izlaz
JSON Request Body,JSON Upit Telo
Jan,jan
Jane Doe,"Jane Doe,"
January,januar
JavaScript,Javascript
JavaScript Format: frappe.query_reports['REPORTNAME']={},JavaScript Format: frappe.kueri_reports [ 'REPORTNAME']={}
Javascript,javascript
Javascript is disabled on your browser,Javascript je onemogućen na vašem pretraživaču
Jinja,jinja
Job,posao
Job Applicant,Kandidat za posao
Job Applicant Source,Posao zahteva Izvor
Job Application Route,Prijava za posao Ruta
Job Card,Poslovna Kartica
Job Card Analysis,Posao kartica Analiza
Job Card Item,Posao kartica artikla
Job Card Summary,Posao kartica Pregled
Job Card Time Log,Posao kartica Vreme se
Job Description,Opis posla
Job Offer,Ponuda za posao
Job Offer Term,Posao Ponuda Rok
Job Offer Terms,Posao ponudi uslove
Job Offer status,Posao Status ponude
Job Offer: {0} is already for Job Applicant: {1},Posao Ponuda: {0} je već za Job podnosilac: {1}
Job Opening,Otvorene Pozicije
Job Openings for designation {0} already open or hiring completed as per Staffing Plan {1},Job Openings za označavanje {0} već otvorenom ili angažovanjem završene po Staffing Plan {1}
Job Started,Started posao
Job Title,Zvanje
Job card {0} created,Posao kartica {0} je napravljena
Job profile,profil posao
Jobs,Poslovi
John Doe,N.N. lice
Join,Pridružiti
Joined {0},Pridružio {0}
Joining Date,spajanje Datum
Joining Date can not be greater than Leaving Date,Spajanje Date ne može biti veći od Leaving Date
Joining Details,spajanje Detalji
Journal Entries {0} are un-linked,Journal Entries {0} are un vezani
Journal Entry,Knjiženje
Journal Entry Account,Časopis Unos računa
Journal Entry Template,Šablon Unosa U Dnevnik
Journal Entry Template Account,Časopis Stupanje Račun šablona
Journal Entry Type,Časopis tip unosa
Journal Entry for Scrap,Časopis Ulaz za otpad
Journal Entry {0} does not have account {1} or already matched against other voucher,Journal Entri {0} nema računa {1} ili već uparen protiv drugih vaučer
July,Jul
Jump to field,Skoči na polje
June,jun
KRA,KAR
Kanban Board,kanban odbor
Kanban Board Column,Kanban odbor Kolona
Kanban Board Name,Kanban Ime foruma
Keep Track of Sales Campaigns. Keep track of Leads,Pratite prodajne akcije. Pratite Leads
Keep track of all update feeds,Pratite svih sadržaja ažuriranje
Keeps track of all communications,Vodi evidenciju o svim komunikacijama
Key,ključ
Key Performance Area,Ključni Aspekti Rada
Key Responsibility Area,Ključ odgovornost Površina
Keyboard Shortcuts,Prečice na tastaturi
Kindly cancel the Manufacturing Entries first against the work order {0}.,Ljubazno poništi Manufacturing unosi prvo protiv radnog naloga {0}.
Kindly select the company first,Ljubazno odabrati kompaniju prvo
Knowledge Base,Baza znanja
Knowledge Base Contributor,Baza znanja Saradnik
Knowledge Base Editor,Baza znanja Urednik
Kraj,kraj
LDAP Email Field,LDAP-mail Polje
LDAP First Name Field,LDAP-Ime polja
LDAP Group,LDAP grupi
LDAP Group Field,LDAP grupi Polje
LDAP Group Mapping,LDAP grupi Mapiranje
LDAP Group Mappings,LDAP grupe Mapiranja
LDAP Last Name Field,LDAP-Prezime Polje
LDAP Middle Name Field,LDAP-Srednje ime polja
LDAP Mobile Field,LDAP-Mobilni Polje
LDAP Not Installed,LDAP-Not Installed
LDAP Phone Field,LDAP-telefon Polje
LDAP Search String,LDAP search string
LDAP Search String needs to end with a placeholder,LDAP search string mora do kraja sa placeholder
LDAP Security,LDAP-Bezbednost
LDAP Server Url,LDAP-URL server
LDAP Settings,LDAP podešavanja
LDAP User Creation and Mapping,Ldap korisničko kreiranja i mapiranje
LDAP Username Field,LDAP korisničko ime Polje
LDAP is not enabled.,LDAP-nije omogućen.
LInked Analysis,Linked Analiza
LMS Activity,ZS aktivnosti
LMS Only,ZS Samo
LMS User,ZS Korisnik
Lab Prescription,lab Recept
Lab Routine,lab Rutinska
Lab Technician,Laboratorijski tehničar
Lab Technician Designation,Laboratorijski tehničar Oznaka
Lab Technician Name,Laboratorijski tehničar Ime
Lab Test,Laboratorijska ispitivanja
Lab Test Group Template,Lab test grupa Šablon
Lab Test Item {0} already exist,Lab Test Item {0} već postoji
Lab Test Name,Lab test Ime
Lab Test Report,Lab test Izveštaj
Lab Test Sample,Lab test uzorak
Lab Test Template,Lab test šablona
Lab Test UOM,Lab test UOM
Lab Test(s) {0} created successfully,Lab test (a) {0} uspešno kreirana
Lab Tests,laboratorijski testovi
Lab Tests and Vital Signs,Laboratorijski testovi i Vital Signs
Lab result datetime cannot be before testing datetime,Lab rezultat DateTime ne može biti pre testiranja datetime
Lab testing datetime cannot be before collection datetime,Lab testiranje DateTime ne može biti ranije kolekcije datetime
LabTest Approver,LabTest odobravatelj
Label,Natpis
Label Help,label Pomoć
Label Printing,label printing
Label Printing Detail,Label printing Detalj
Label and Type,Oznaka i tip
Label is mandatory,Oznaka je obavezna
Laboratory,laboratorija
Laboratory SMS Alerts,Laboratorija SMS obaveštenja
Laboratory Settings,laboratorijski Podešavanja
Laboratory Testing Datetime,Laboratorijska ispitivanja Datetime
Laboratory User,laboratorija Korisnik
Landed Cost Help,Sleteo Troškovi Pomoć
Landed Cost Item,Sleteo Cena artikla
Landed Cost Purchase Receipt,Sleteo nabavnoj Prijem
Landed Cost Taxes and Charges,Posadka troškova porezi i takse
Landed Cost Voucher,Vaučer Konačnih Troškova
Landed Cost Voucher Amount,Sleteo troškova vaučera Iznos
Landing Page,Početne stranice
Landscape,pejzaž
Language,Jezik
Language Code,Kod jezika
Language Name,Jezik Ime
Lapsed,propao
Large,veliki
Last,poslednji
Last Accrual Date,Poslednji Akrualno Datum
Last Active,Zadnji put
Last Activity,Poslednja aktivnost
Last Backup On,Poslednji rezervne kopije Na
Last Carbon Check,Poslednji tehnički
Last Communication,Poslednji Komunikacija
Last Communication Date,Poslednji Komunikacija Datum
Last Completion Date,Poslednji datum završetka
Last Execution,Poslednji Izvršenje
Last IP,Poslednja IP
Last Integration Date,Poslednji Integracija Datum
Last Known Successful Sync of Employee Checkin. Reset this only if you are sure that all Logs are synced from all the locations. Please don't modify this if you are unsure.,"Poslednja posećena Uspešna sinhronizacija od zaposlenih Checkin. Reset to samo ako ste sigurni da su svi trupci sinhronizuju sa svim lokacijama. Molim vas, nemojte menjati ovo ako niste sigurni."
Last Known Versions,Last Knovn verzije
